titre,url,loyer_cc,loyer_hc,surface,pieces,quartier,disponibilite,source
Appartement 17.39m² Croix de Pierre,https://www.bienici.com/annonce/location/toulouse-31300/ics-adl_LAURAGAIS_loc-GES65850003-937,429.21,,17.39,1,Croix de Pierre,Immédiat,Bien'ici
Appartement 12.44m² Busca - Jardin des plantes - Port Saint-Sauveur,https://www.bienici.com/annonce/location/toulouse-31400/citya-immobilier-9753-GES60190004-297,430.0,,12.44,1,Busca - Jardin des plantes - Port Saint-Sauveur,Immédiat,Bien'ici
BUSCA / ST MICHEL - studio 18m2,https://www.bienici.com/annonce/location/toulouse-31400/ag310003-520817735,431.0,391.0,17.0,1,Saint-Michel,Immédiat,Bien'ici
Appartement T1 Le Busca,https://www.bienici.com/annonce/location/toulouse-31000/immo-facile-60189774,474.0,,21.83,1,Busca - Jardin des plantes - Port Saint-Sauveur,Immédiat,Bien'ici
Appartement 17.43m² Patte d'Oie - Fontaines,https://www.bienici.com/annonce/location/toulouse-31300/ics-adl_LAURAGAIS_loc-LAPP115815,474.47,,17.43,1,Patte d'Oie - Fontaines,Immédiat,Bien'ici
Appartement à louer TOULOUSE,https://www.bienici.com/annonce/location/toulouse-31000/netty-sogem-appt-3951,475.0,,17.36,1,Capitole,2025-11-06,Bien'ici
Appartement à louer Toulouse,https://www.bienici.com/annonce/location/toulouse-31400/netty-company51640rhc-appt-4573,480.0,,21.0,1,Saint-Michel,2026-03-06,Bien'ici
Studio croix de pierre,https://www.bienici.com/annonce/location/toulouse-31300/ag314203-520567370,480.0,450.0,17.0,1,Croix de Pierre,2025-08-01,Bien'ici
Appartement 19.78m² Croix de Pierre,https://www.bienici.com/annonce/location/toulouse-31100/ics-adl_LAURAGAIS_loc-GES60180042-937,481.18,,19.78,1,Croix de Pierre,Immédiat,Bien'ici
T2 3EME ETAGE CENTRE TOULOUSE,https://www.bienici.com/annonce/location/toulouse-31000/hektor-ESCUDERO-8311,495.0,,11.61,1,Matabiau,Immédiat,Bien'ici
Appartement 18.61m² Ponts Jumeaux,https://www.bienici.com/annonce/location/toulouse-31200/ics-adl_LAURAGAIS_loc-LAPP115909,498.0,,18.61,1,Ponts Jumeaux,Immédiat,Bien'ici
Studio Quartier Jeanne d'Arc,https://www.bienici.com/annonce/location/toulouse-31000/ag313673-515399783,500.0,470.0,18.0,1,Matabiau,2026-03-17,Bien'ici
