titre,url,loyer_cc,loyer_hc,surface,pieces,quartier,disponibilite,source
Appartement 9.13m² Montparnasse - Raspail,https://www.bienici.com/annonce/location/paris-75014/ics-rou_ROUSSEAU_PARIS_loc-GES00140420-751,359.0,,9.13,1,Montparnasse - Raspail,Immédiat,Bien'ici
Studio,https://www.bienici.com/annonce/location/paris-75020/ag754025-499734044,750.0,690.0,13.0,1,Belleville,Immédiat,Bien'ici
"790 €
Paris 13E (75013)
Chambre en colocation 7 pièces 155 m",https://www.pap.fr/annonces/colocation-paris-13e-75013-r461702747,790.0,,155.0,7,Paris 13e,Non précisé,PAP
"820 €
Paris 13E (75013)
Chambre en colocation 6 pièces 112 m",https://www.pap.fr/annonces/colocation-paris-13e-75013-r458902257,820.0,,112.0,6,Paris 13e,Non précisé,PAP
Appartement 23.01m² Gambetta,https://www.bienici.com/annonce/location/paris-75020/century-21-202_3332_1794,843.57,,23.01,1,Gambetta,Immédiat,Bien'ici
Appartement Studio PARIS,https://www.bienici.com/annonce/location/paris-75011/ag753240-524379677,848.0,718.0,13.0,1,Bastille - Popincourt,Immédiat,Bien'ici
"860 €
Paris 7E (75007)
1 pièce 14 m²",https://www.pap.fr/annonces/appartement-paris-7e-75007-r438500837,860.0,,14.0,1,Paris 7e,Non précisé,PAP
Studio / 19m² / Gambetta (Ligne 3),https://www.bienici.com/annonce/location/paris-75020/ag750135-510427919,865.0,865.0,19.0,1,Père Lachaise - Réunion,Immédiat,Bien'ici
Studio / 10m² / Convention (Ligne 12),https://www.bienici.com/annonce/location/paris-75015/ag752485-518296469,880.0,880.0,10.0,1,Vaugirard - Parc des Expositions,Immédiat,Bien'ici
"900 €
Paris 13E (75013)
1 pièce 17 m²",https://www.pap.fr/annonces/appartement-paris-13e-75013-r458801312,900.0,,17.0,1,Paris 13e,Non précisé,PAP
