titre,url,loyer_cc,loyer_hc,surface,pieces,quartier,disponibilite,source
Appartement 20.6m² Guilhemery - Bonhoure - La Gloire,https://www.bienici.com/annonce/location/toulouse-31500/ics-adl_LAURAGAIS_loc-GES34910175-456,407.56,,20.6,1,Guilhemery - Bonhoure - La Gloire,Immédiat,Bien'ici
Studio meublé carmes,https://www.bienici.com/annonce/location/toulouse-31000/hektor-fitgestion-21854,420.0,,9.0,1,Les Carmes-Esquirol,Immédiat,Bien'ici
Appartement 17.39m² Croix de Pierre,https://www.bienici.com/annonce/location/toulouse-31300/ics-adl_LAURAGAIS_loc-GES65850003-937,429.21,,17.39,1,Croix de Pierre,Immédiat,Bien'ici
Idéal étudiant studio meublé 15 m² Toulouse Capitole,https://www.bienici.com/annonce/location/toulouse-31000/ag310200-524147993,430.0,405.0,15.0,1,Saint-Georges,Immédiat,Bien'ici
BUSCA / ST MICHEL - studio 18m2,https://www.bienici.com/annonce/location/toulouse-31400/ag310003-520817735,431.0,391.0,17.0,1,Saint-Michel,Immédiat,Bien'ici
Appartement,https://www.bienici.com/annonce/location/toulouse-31300/adapt-immo-312701294,435.0,,27.0,1,Saint-Cyprien,Immédiat,Bien'ici
Appartement à louer TOULOUSE,https://www.bienici.com/annonce/location/toulouse-31000/netty-sogem-appt-3951,475.0,,17.36,1,Capitole,2025-11-06,Bien'ici
Appartement 19.78m² Croix de Pierre,https://www.bienici.com/annonce/location/toulouse-31100/ics-adl_LAURAGAIS_loc-GES60180042-937,481.18,,19.78,1,Croix de Pierre,Immédiat,Bien'ici
"CAPITOLE - T1 DE 16,60 M². RDC. Meublé",https://www.bienici.com/annonce/location/toulouse-31000/apimo-5979391,487.0,487.0,16.6,1,Capitole,Immédiat,Bien'ici
Appartement 27.76m² Busca - Jardin des plantes - Port Saint-Sauveur,https://www.bienici.com/annonce/location/toulouse-31400/citya-immobilier-9753-GES71450003-297,493.26,,27.76,1,Busca - Jardin des plantes - Port Saint-Sauveur,Immédiat,Bien'ici
Appartement 18.61m² Ponts Jumeaux,https://www.bienici.com/annonce/location/toulouse-31200/ics-adl_LAURAGAIS_loc-LAPP115909,498.0,,18.61,1,Ponts Jumeaux,Immédiat,Bien'ici
STUDIO MEUBLE SAINT-MICHEL,https://www.bienici.com/annonce/location/toulouse-31400/hektor-SETFIMMOBILIER2022-45712,500.0,,13.0,1,Saint-Michel,2026-03-06,Bien'ici
COMPANS T1 meublé -,https://www.bienici.com/annonce/location/toulouse-31000/ag310200-505867550,500.0,463.0,19.0,1,Compans-Caffarelli,Immédiat,Bien'ici
Charmant Studio Meublé Quartier François Verdier & Place Dupuy,https://www.bienici.com/annonce/location/toulouse-31000/ag313673-508455947,505.0,470.0,17.0,1,Saint-Aubin,2026-02-13,Bien'ici
Appartement 15.78m² Capitole,https://www.bienici.com/annonce/location/toulouse-31000/ics-adl_LAURAGAIS_loc-GES15120203-457,509.1,,15.78,1,Capitole,Immédiat,Bien'ici
Studio,https://www.bienici.com/annonce/location/toulouse-31000/ag752861-523595273,512.0,512.0,15.0,1,Saint-Sernin,Immédiat,Bien'ici
Appartement 22.42m² Matabiau,https://www.bienici.com/annonce/location/toulouse-31000/ics-adl_LAURAGAIS_loc-GES60500029-937,513.27,,22.42,1,Matabiau,Immédiat,Bien'ici
T1,https://www.bienici.com/annonce/location/toulouse-31000/ag752861-523595270,514.0,514.0,18.0,1,Saint-Sernin,Immédiat,Bien'ici
STUDIO MEUBLE FAC DE DROIT CAPITOLE,https://www.bienici.com/annonce/location/toulouse-31000/netty-taur-appt-4239,515.0,,23.0,1,Saint-Sernin,Immédiat,Bien'ici
Appartement T2 Saint-Michel,https://www.bienici.com/annonce/location/toulouse-31400/immo-facile-60154238,519.0,,29.87,2,Saint-Michel,Immédiat,Bien'ici
"Toulouse, Quartier Jardin des Plantes-Grand Rond, T1 meublé",https://www.bienici.com/annonce/location/toulouse-31400/hektor-cigec-46235,523.0,,20.15,1,Busca - Jardin des plantes - Port Saint-Sauveur,2025-12-31,Bien'ici
Appartement 25.48m² Busca - Jardin des plantes - Port Saint-Sauveur,https://www.bienici.com/annonce/location/toulouse-31400/citya-immobilier-9753-GES71450008-297,524.63,,25.48,1,Busca - Jardin des plantes - Port Saint-Sauveur,Immédiat,Bien'ici
Appartement 25.09m² Busca - Jardin des plantes - Port Saint-Sauveur,https://www.bienici.com/annonce/location/toulouse-31400/citya-immobilier-9753-GES71450005-297,535.4100000000001,,25.09,1,Busca - Jardin des plantes - Port Saint-Sauveur,Immédiat,Bien'ici
Appartement 27.04m² Guilhemery - Bonhoure - La Gloire,https://www.bienici.com/annonce/location/toulouse-31500/ics-adl_LAURAGAIS_loc-LAPP116000,536.0,,27.04,1,Guilhemery - Bonhoure - La Gloire,Immédiat,Bien'ici
Studio Meublé Saint Cyprien,https://www.bienici.com/annonce/location/toulouse-31300/ag314494-523397486,537.0,500.0,21.0,1,Patte d'Oie - Fontaines,2026-04-30,Bien'ici
Compans-Caffarelli,https://www.bienici.com/annonce/location/toulouse-31000/ag752345-519350291,540.0,510.0,26.0,1,Compans-Caffarelli,Immédiat,Bien'ici
T1 JEANNE d'ARC,https://www.bienici.com/annonce/location/toulouse-31000/gedeon-33076883,547.0,,25.0,1,Matabiau,2026-05-13,Bien'ici
Appartement 21.27m² Compans-Caffarelli,https://www.bienici.com/annonce/location/toulouse-31000/ics-adl_LAURAGAIS_loc-GES61120110-937,547.71,,21.27,1,Compans-Caffarelli,Immédiat,Bien'ici
